"Notes"	"Year"	"Year Code"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error	% of Total Deaths
	"1999"	"1999"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	66	261087	25.3	19.6	32.2	3.1	24.8	19.2	31.7	3.1	0.1%
	"1999"	"1999"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	26	134128	19.4	12.7	28.4	3.8	18.3	11.8	27.0	3.6	0.0%
	"1999"	"1999"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	"White"	"2106-3"	14	256492	Unreliable	3.0	9.2	1.5	Unreliable	3.0	9.1	1.4	0.0%
	"1999"	"1999"	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	20	108628	18.4	11.2	28.4	4.1	15.9	9.6	24.9	3.7	0.0%
	"1999"	"1999"	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"Small Metro"	"4"	"Black or African American"	"2054-5"	10	48258	Unreliable	9.9	38.1	6.6	Unreliable	9.0	37.5	6.5	0.0%
	"1999"	"1999"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	35	126429	27.7	19.3	38.5	4.7	27.4	18.6	38.9	5.0	0.0%
	"1999"	"1999"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Large Central Metro"	"1"	"White"	"2106-3"	181	2733686	6.6	5.7	7.6	0.5	6.3	5.4	7.2	0.5	0.2%
	"1999"	"1999"	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Medium Metro"	"3"	"White"	"2106-3"	38	747814	5.1	3.6	7.0	0.8	5.0	3.5	6.8	0.8	0.0%
	"1999"	"1999"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	32	115900	27.6	18.9	39.0	4.9	25.4	17.1	36.3	4.6	0.0%
	"1999"	"1999"	"California"	"06"	"Alameda County, CA"	"06001"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	39	233300	16.7	11.9	22.9	2.7	16.2	11.5	22.2	2.6	0.0%
	"1999"	"1999"	"California"	"06"	"Alameda County, CA"	"06001"	"Large Central Metro"	"1"	"White"	"2106-3"	17	864272	Unreliable	1.1	3.1	0.5	Unreliable	1.1	3.0	0.5	0.0%
	"1999"	"1999"	"California"	"06"	"Contra Costa County, CA"	"06013"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	27	96156	28.1	18.5	40.9	5.4	28.2	18.6	41.1	5.4	0.0%
	"1999"	"1999"	"California"	"06"	"Contra Costa County, CA"	"06013"	"Large Fringe Metro"	"2"	"White"	"2106-3"	15	715898	Unreliable	1.2	3.5	0.5	Unreliable	1.3	3.9	0.6	0.0%
	"1999"	"1999"	"California"	"06"	"Fresno County, CA"	"06019"	"Medium Metro"	"3"	"White"	"2106-3"	15	653491	Unreliable	1.3	3.8	0.6	Unreliable	1.2	3.7	0.6	0.0%
	"1999"	"1999"	"California"	"06"	"Kern County, CA"	"06029"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	10	43953	Unreliable	10.9	41.8	7.2	Unreliable	9.5	36.5	6.3	0.0%
	"1999"	"1999"	"California"	"06"	"Kern County, CA"	"06029"	"Medium Metro"	"3"	"White"	"2106-3"	20	571327	3.5	2.1	5.4	0.8	3.4	2.1	5.3	0.8	0.0%
	"1999"	"1999"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Large Central Metro"	"1"	"Asian or Pacific Islander"	"A-PI"	36	1228385	2.9	2.1	4.1	0.5	2.7	1.9	3.8	0.5	0.0%
	"1999"	"1999"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	222	1015375	21.9	19.0	24.7	1.5	21.4	18.6	24.3	1.4	0.2%
	"1999"	"1999"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Large Central Metro"	"1"	"White"	"2106-3"	420	7084585	5.9	5.4	6.5	0.3	5.6	5.1	6.1	0.3	0.4%
	"1999"	"1999"	"California"	"06"	"Monterey County, CA"	"06053"	"Medium Metro"	"3"	"White"	"2106-3"	18	341140	Unreliable	3.1	8.3	1.2	Unreliable	2.9	7.9	1.2	0.0%
	"1999"	"1999"	"California"	"06"	"Orange County, CA"	"06059"	"Large Central Metro"	"1"	"White"	"2106-3"	53	2322172	2.3	1.7	3.0	0.3	2.3	1.7	3.1	0.3	0.0%
	"1999"	"1999"	"California"	"06"	"Riverside County, CA"	"06065"	"Large Central Metro"	"1"	"White"	"2106-3"	44	1310823	3.4	2.4	4.5	0.5	3.5	2.5	4.7	0.5	0.0%
